[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 22:51:21] STATUS -> Preu: 82.8299 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:51:52] STATUS -> Preu: 82.8299 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:52:23] STATUS -> Preu: 82.921 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:52:54] STATUS -> Preu: 82.97 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:53:25] STATUS -> Preu: 82.9343 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:53:56] STATUS -> Preu: 82.8636 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:54:27] STATUS -> Preu: 83.0075 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:54:57] STATUS -> Preu: 83.0075 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:55:28] STATUS -> Preu: 82.9065 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:55:59] STATUS -> Preu: 82.887 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:56:30] STATUS -> Preu: 82.7354 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:57:01] STATUS -> Preu: 82.7291 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:57:32] STATUS -> Preu: 82.755 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:58:03] STATUS -> Preu: 82.759 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:58:33] STATUS -> Preu: 82.7966 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:59:04] STATUS -> Preu: 82.7598 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 22:59:35] STATUS -> Preu: 82.6857 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 23:00:06] STATUS -> Preu: 82.634 | Caixa: 9697.32 | SOL: 926.92
[2026-03-01 23:00:37] STATUS -> Preu: 82.5161 | Caixa: 9697.32 | SOL: 926.92
[MAKER] Ordre LIMIT de compra col·locada: 47.628 SOL @ 82.7183. Esperant fins a 20s...
[MAKER] Compra consolidada: 47.628 SOL @ 82.564
[2026-03-01 23:01:10] STATUS -> Preu: 82.5535 | Caixa: 5764.95 | SOL: 974.444
[MAKER] Ordre LIMIT de compra col·locada: 55.491 SOL @ 82.6021. Esperant fins a 20s...
[MAKER] Compra consolidada: 55.491 SOL @ 82.6
[2026-03-01 23:01:46] STATUS -> Preu: 82.582 | Caixa: 1181.39 | SOL: 1029.87
[2026-03-01 23:02:17] STATUS -> Preu: 82.7811 | Caixa: 1181.39 | SOL: 1029.87
[2026-03-01 23:02:49] STATUS -> Preu: 83.0543 | Caixa: 9727.91 | SOL: 926.749
[VENTA] Exitosa: 47.628 SOL @ 82.98
[VENTA] Exitosa: 55.491 SOL @ 82.98
[2026-03-01 23:03:20] STATUS -> Preu: 83.12 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:03:51] STATUS -> Preu: 83.0029 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:04:22] STATUS -> Preu: 83.0545 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:04:53] STATUS -> Preu: 83.113 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:05:24] STATUS -> Preu: 83.2518 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:05:54] STATUS -> Preu: 83.2766 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:06:25] STATUS -> Preu: 83.4497 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:06:56] STATUS -> Preu: 83.5035 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:07:27] STATUS -> Preu: 83.4185 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:07:58] STATUS -> Preu: 83.5405 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:08:29] STATUS -> Preu: 83.6302 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:09:00] STATUS -> Preu: 83.5624 | Caixa: 9727.91 | SOL: 926.749
